bc/epoch_num,bc/ent_loss,bc/prob_true_act,bc/batch_num,bc/l2_loss,bc/loss,bc/l2_norm,bc/samples_so_far,bc/entropy,bc/neglogp
0,0.024690845981240273,240737200800.512,1,0.0,-26.14960397901671,6086.15673828125,32,-24.690845489501953,-26.17429482499795
2,0.02469954453408718,245818972302.7329,501,0.0,-26.16944325766511,6085.83154296875,15998,-24.699542999267578,-26.1941428021992
4,0.024706395342946053,140181103682.1456,1001,0.0,-25.594872901802844,6085.2841796875,31964,-24.70639419555664,-25.61957929714579
6,0.02472010999917984,79469617507.87175,1501,0.0,-24.749975779152294,6085.140625,47930,-24.720108032226562,-24.774695889151474
8,0.02472737245261669,246787683560.27545,2001,0.0,-26.153192766928996,6085.2119140625,63896,-24.727371215820312,-26.177920139381612
10,0.024742620065808296,263093271672.07187,2501,0.0,-26.25531790227467,6085.19970703125,79862,-24.742618560791016,-26.280060522340477
12,0.02477193810045719,251893683641.4038,3001,0.0,-26.183373054645987,6085.9990234375,95828,-24.771936416625977,-26.208144992746444
14,0.02479924075305462,259714593772.88315,3501,0.0,-26.20818113745036,6086.23486328125,111794,-24.799240112304688,-26.232980378203415
17,0.0248439721763134,140642319477.36682,4001,0.0,-24.998214729951847,6086.72998046875,127743,-24.843971252441406,-25.02305870212816
19,0.024883512407541275,284251730392.93835,4501,0.0,-26.291497401930094,6087.05859375,143709,-24.88351058959961,-26.316380914337635
21,0.024932878091931343,187557443676.792,5001,0.0,-25.903421344607768,6087.16650390625,159675,-24.932876586914062,-25.9283542226997
23,0.024978581815958023,316239666508.42865,5501,0.0,-26.422720431313845,6086.36962890625,175641,-24.978580474853516,-26.447699013129803
25,0.025058183819055557,361287526247.4565,6001,0.0,-26.481738638515587,6086.6435546875,191607,-25.058181762695312,-26.506796822334643
27,0.024677129462361336,251800768947.422,6501,0.0,-26.153755755080944,6085.70068359375,207573,-24.677127838134766,-26.178432884543305
29,0.024714363738894463,221060323245.5626,7001,0.0,-26.056314061729445,6084.95654296875,223539,-24.71436309814453,-26.08102842546834
31,0.024762937799096107,266870232780.3175,7501,0.0,-26.248536686046137,6084.5595703125,239505,-24.762937545776367,-26.273299623845233
34,0.024790333583950996,289869175647.08923,8001,0.0,-26.344165487415353,6084.15478515625,255454,-24.790332794189453,-26.368955820999304
36,0.024800019338726997,181834442933.19818,8501,0.0,-25.87064058244078,6084.080078125,271420,-24.800018310546875,-25.89544060177951
38,0.024798104539513588,231807495349.56473,9001,0.0,-26.106492850119615,6084.18408203125,287386,-24.79810333251953,-26.13129095465913
40,0.024792516604065895,256548778003.667,9501,0.0,-26.220521941208037,6084.16064453125,303352,-24.79251480102539,-26.245314457812103
42,0.024795835837721825,129416909957.99294,10001,0.0,-25.481692991540044,6085.2900390625,319318,-24.795835494995117,-25.506488827377765
44,0.024800419807434082,252099871368.66797,10501,0.0,-25.639888057764647,6085.6982421875,335284,-24.800418853759766,-25.66468847757208
46,0.024802125990390778,181814930948.22354,11001,0.0,-25.839472198595452,6086.5302734375,351250,-24.8021240234375,-25.864274324585843
48,0.024805856868624687,207623099799.0074,11501,0.0,-25.959392532880553,6087.97265625,367216,-24.80585479736328,-25.984198389749178
51,0.024811986833810806,141198824937.12643,12001,0.0,-25.581476709211113,6088.4794921875,383165,-24.81198501586914,-25.606288696044924
53,0.0248090960085392,244795990038.89496,12501,0.0,-26.105678865976785,6087.5869140625,399131,-24.80909538269043,-26.130487961985324
55,0.02482607029378414,271369605379.1356,13001,0.0,-26.247807818176142,6088.2783203125,415097,-24.826068878173828,-26.272633888469926
57,0.024844206869602203,180363596185.9331,13501,0.0,-25.84715013469883,6089.36181640625,431063,-24.844205856323242,-25.87199434156843
59,0.024863751605153084,238249589782.17297,14001,0.0,-26.134362039214157,6089.05078125,447029,-24.863750457763672,-26.15922579081931
61,0.024874065071344376,239560098604.65494,14501,0.0,-26.14708139116292,6089.01171875,462995,-24.87406349182129,-26.171955456234265
63,0.02490490861237049,45816629352.56134,15001,0.0,-24.46489693242637,6088.80517578125,478961,-24.9049072265625,-24.48980184103874
65,0.024930167943239212,300824166715.46204,15501,0.0,-26.362833151321254,6089.3017578125,494927,-24.930166244506836,-26.387763319264494
68,0.024978937581181526,149220951924.94427,16001,0.0,-25.59443766523915,6089.7041015625,510876,-24.97893714904785,-25.61941660282033
70,0.025017794221639633,253672218893.79138,16501,0.0,-26.19142789592855,6090.189453125,526842,-25.017793655395508,-26.216445690150188
72,0.02453404851257801,173437444095.7525,17001,0.0,-25.643304615653527,6089.31689453125,542808,-24.534048080444336,-25.667838664166105
74,0.024575576186180115,236835903438.29858,17501,0.0,-26.13272866765627,6089.47021484375,558774,-24.57557487487793,-26.15730424384245
76,0.024613728746771812,238932295673.71796,18001,0.0,-26.073905044036522,6089.66748046875,574740,-24.613727569580078,-26.098518772783294
78,0.024635639041662216,230211014140.15637,18501,0.0,-26.121306475780447,6089.90283203125,590706,-24.635637283325195,-26.14594211482211
80,0.024648748338222504,218246760721.2068,19001,0.0,-26.031762619013264,6090.1533203125,606672,-24.648746490478516,-26.056411367351487
82,0.02465338259935379,254907829328.8825,19501,0.0,-26.22438801212129,6090.43603515625,622638,-24.65338134765625,-26.249041394720642
85,0.02465735375881195,209539647737.8548,20001,0.0,-25.99913437352243,6090.72802734375,638587,-24.657352447509766,-26.023791727281242
87,0.024666238576173782,222515089465.61206,20501,0.0,-25.997847465073658,6091.05224609375,654553,-24.666236877441406,-26.02251370364983
89,0.024663224816322327,201942065684.8785,21001,0.0,-25.98314976622398,6091.4296875,670519,-24.663223266601562,-26.007812991040304
91,0.024672431871294975,259477090935.15384,21501,0.0,-26.24092071767418,6091.78515625,686485,-24.67243003845215,-26.265593149545474
93,0.02468257024884224,248273944453.73486,22001,0.0,-26.17349371844026,6092.20654296875,702451,-24.68256950378418,-26.1981762886891
95,0.024682603776454926,121859144336.6751,22501,0.0,-25.497496829010668,6092.56787109375,718417,-24.682601928710938,-25.522179432787123
97,0.024691756814718246,167259694243.0892,23001,0.0,-25.763777413603975,6092.96923828125,734383,-24.691755294799805,-25.788469170418693
